source_id,text,label,error_type,correct_text
s048,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს .,error,space_before_punctuation,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს.
s048,უცხო სიტყვის ქართული გaნმარტება ახალ მასალას ამარტივებს.,error,mixed_alphabet,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს.
s049,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია.,correct,none,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია.
s049,კითხვის დასმა სწaვლის პროცესის ბუნებრივი ნაწილია.,error,mixed_alphabet,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია.
s049,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია .,error,space_before_punctuation,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია.
s049,კითხვის დასმა სწავლის  პროცესის ბუნებრივი ნაწილია.,error,double_space,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია.
s050,კარგი პასუხი წყაროს,correct,none,კარგი პასუხი წყაროს
s050,კარგი პaსუხი წყაროს,error,mixed_alphabet,კარგი პასუხი წყაროს
s050,კარგი პასუხი  წყაროს,error,double_space,კარგი პასუხი წყაროს
s051,დილით მზე ამოვიდა,correct,none,დილით მზე ამოვიდა
s051,დილით მზe ამოვიდა,error,mixed_alphabet,დილით მზე ამოვიდა
s051,დილით მზე  ამოვიდა,error,double_space,დილით მზე ამოვიდა
s052,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა.,correct,none,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა.
s052,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა .,error,space_before_punctuation,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა.
s052,მდინარის პირას მაღალი ხეები  და პატარა ბილიკი ჩანდა.,error,double_space,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა.
s052,მდინარის პირას მაღaლი ხეები და პატარა ბილიკი ჩანდა.,error,mixed_alphabet,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა.
s053,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა.,correct,none,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა.
s053,ბებია ბავშვებს ძვeლ ქართულ ზღაპარს უკითხავდა.,error,mixed_alphabet,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა.
s053,ბებია ბავშვებს ძველ  ქართულ ზღაპარს უკითხავდა.,error,double_space,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა.
s053,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა .,error,space_before_punctuation,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა.
s054,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა.,correct,none,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა.
s054,პოეტმა სათქმელი შედარებისა და  მეტაფორის საშუალებით გამოხატა.,error,double_space,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა.
s054,პოეტმა სათქმელი შედარeბისა და მეტაფორის საშუალებით გამოხატა.,error,mixed_alphabet,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა.
s054,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა .,error,space_before_punctuation,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა.
s055,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს.,correct,none,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს.
s055,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს .,error,space_before_punctuation,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს.
s055,ნაწარმოების სათაური ხშირaდ მთავარ თემაზე მიგვანიშნებს.,error,mixed_alphabet,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს.
s055,ნაწარმოების სათაური ხშირად  მთავარ თემაზე მიგვანიშნებს.,error,double_space,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს.
s056,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის.,correct,none,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის.
s056,ავტორისა და მთხრობლის eრთმანეთთან გაიგივება ყოველთვის სწორი არ არის.,error,mixed_alphabet,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის.
s056,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის .,error,space_before_punctuation,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის.
s056,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება  ყოველთვის სწორი არ არის.,error,double_space,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის.
s057,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს.,correct,none,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს.
s057,პერსონაჟის დახასიათება მის სიტყვeბსა და მოქმედებებს უნდა დაეფუძნოს.,error,mixed_alphabet,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს.
s057,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს .,error,space_before_punctuation,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს.
s057,პერსონაჟის დახასიათება მის სიტყვებსა  და მოქმედებებს უნდა დაეფუძნოს.,error,double_space,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს.
s058,ახალი სიტყვა წინადადებაში გამოიყენე,correct,none,ახალი სიტყვა წინადადებაში გამოიყენე
s058,ახალი სიტყვა  წინადადებაში გამოიყენე,error,double_space,ახალი სიტყვა წინადადებაში გამოიყენე
s058,ახალი სიტყვa წინადადებაში გამოიყენე,error,mixed_alphabet,ახალი სიტყვა წინადადებაში გამოიყენე
s059,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს.,correct,none,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს.
s059,ყოველდღე ათი წუთის კითხვა  ენის ცოდნას თანდათან აუმჯობესებს.,error,double_space,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს.
s059,ყოველდღე ათი წუთის კითხვa ენის ცოდნას თანდათან აუმჯობესებს.,error,mixed_alphabet,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს.
s059,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს .,error,space_before_punctuation,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს.
s060,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.,correct,none,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.
s060,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს .,error,space_before_punctuation,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.
s060,შეცდომის გასწორებას ყოვeლთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.,error,mixed_alphabet,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.
s060,შეცდომის გასწორებას ყოველთვის მოკლე და  გასაგები ახსნა უნდა ახლდეს.,error,double_space,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.
